session_id,screened_out,age_band,stream_freq,eat_while_watch,devices,meal_sessions_per_week,decision_time,meal_pct_over,giveup_freq,know_what_want,action_when_dragged,annoyance,open_giveup_story,eligible
e0d7f8c0-b6ff-4152-9ed7-4145146c057f,False,18–22,A few times a week,Sometimes,Laptop;TV,3–5,1–3 minutes,5,A few times,I usually have to figure it out,Switched to YouTube,3,,True
00b0f45b-182f-46fd-b5a9-9335806f1183,False,18–22,A few times a week,Sometimes,Phone;TV,3–5,I never started,7,A few times,Depends,Switched to YouTube,8,,True
49ef13cf-0278-48e5-b676-6761c8553a2f,False,23–26,Every day,Most meals,Phone,10+,1–3 minutes,5,A few times,Depends,Put on an old favourite,8,,True
2c2e2e53-9d76-40a1-8f27-cc91573ffdac,False,18–22,A few times a week,Most meals,Laptop,6–10,Under 1 minute,1,Once or twice,Depends,Switched to YouTube,10,,True
10b46a90-76b7-4fb2-9ac7-ed34294d426a,False,27–30,Every day,Most meals,Phone;Laptop,10+,3–5 minutes,0,Never,I usually already know,Put on an old favourite,10,,True
19a064ba-6ac6-4e47-ae5e-77f5dbaa52a6,False,23–26,Every day,Sometimes,TV;Tablet,3–5,1–3 minutes,3,A few times,I usually already know,Put on an old favourite,0,,True
0f594d30-7c67-4a8b-84a5-0e8eaa052ff8,False,27–30,Every day,Sometimes,TV,10+,1–3 minutes,0,Never,Depends,Watched something on it anyway,0,,True
33965e13-e22c-460e-8152-855cbcb4fd64,False,18–22,Every day,Most meals,Phone,6–10,Under 1 minute,1,Once or twice,I usually already know,Put on an old favourite,1,,True
334373bd-9780-41a0-8649-24074d51fd6d,False,18–22,Every day,Most meals,Phone,6–10,1–3 minutes,2,A few times,Depends,Put on an old favourite,8,I just close it or just rewatch something that I like,True
63a988b9-bc0f-4701-ac3f-9a76adfd3f8a,False,23–26,Every day,Most meals,TV;Laptop,6–10,3–5 minutes,7,A few times,Depends,Watched something on it anyway,8,,True
723fc4fa-b3f9-48c6-a823-3fa0b69b1c60,False,18–22,A few times a week,Most meals,Phone;TV,3–5,5–10 minutes,3,A few times,I usually have to figure it out,Put on an old favourite,6,,True
