session_id,screened_out,age_band,stream_freq,eat_while_watch,devices,meal_sessions_per_week,decision_time,meal_pct_over,giveup_freq,know_what_want,action_when_dragged,annoyance,open_giveup_story,eligible,noticed_row,perceived_speed,taste_match,start_intention,reduced_struggle,stay_on_netflix,guardrail_already_seen,useful_components,likelihood_use_next,open_one_thing,open_confusion,perceived_speed_num,start_intention_num,reduced_struggle_num,stay_on_netflix_num
e0d7f8c0-b6ff-4152-9ed7-4145146c057f,False,18–22,A few times a week,Sometimes,Laptop;TV,3–5,1–3 minutes,5,A few times,I usually have to figure it out,Switched to YouTube,3,,True,Yes,Faster,3,Started eventually,Somewhat,Maybe,A mix,The mood filters;The jump-to-the-best-moment graph;That it used shows I already watch,8,Better recommendations,,1,1,1,1
49ef13cf-0278-48e5-b676-6761c8553a2f,False,23–26,Every day,Most meals,Phone,10+,1–3 minutes,5,A few times,Depends,Put on an old favourite,8,,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,The single best-episode pick per show,7,Short form content from the same show i watch those on yt shorts a lot like,,1,1,1,1
0f594d30-7c67-4a8b-84a5-0e8eaa052ff8,False,27–30,Every day,Sometimes,TV,10+,1–3 minutes,0,Never,Depends,Watched something on it anyway,0,,True,No,About the same,NOT_ASKED,Started easily,Somewhat,Maybe,NOT_ASKED,The single best-episode pick per show,0,nothing,,0,2,1,1
33965e13-e22c-460e-8152-855cbcb4fd64,False,18–22,Every day,Most meals,Phone,6–10,Under 1 minute,1,Once or twice,I usually already know,Put on an old favourite,1,,True,Yes,About the same,NOT_ASKED,Started easily,Somewhat,Maybe,NOT_ASKED,The single best-episode pick per show,6,No adds while watching,,0,2,1,1
334373bd-9780-41a0-8649-24074d51fd6d,False,18–22,Every day,Most meals,Phone,6–10,1–3 minutes,2,A few times,Depends,Put on an old favourite,8,I just close it or just rewatch something that I like,True,Not sure,About the same,NOT_ASKED,Started eventually,Somewhat,No,NOT_ASKED,That it used shows I already watch;The single best-episode pick per show,6,I dont know,IDK,0,1,1,0
723fc4fa-b3f9-48c6-a823-3fa0b69b1c60,False,18–22,A few times a week,Most meals,Phone;TV,3–5,5–10 minutes,3,A few times,I usually have to figure it out,Put on an old favourite,6,,True,Not sure,About the same,NOT_ASKED,Started eventually,Somewhat,No,NOT_ASKED,The single best-episode pick per show;That it used shows I already watch,6,a random episode generated from a previously watched show,,0,1,1,0
c4f215c1-d378-471d-a86c-799e7889de27,False,18–22,A few times a week,Sometimes,Phone;Laptop,1–2,Over 10 minutes,0,Once or twice,I usually have to figure it out,Put on an old favourite,7,I ate the meel with instagram reels,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,The mood filters,5,Good recommendations,No,1,1,1,1
e1a8b2e3-f0d2-43b8-ad9d-56649caa99b5,False,27–30,About once a week,Most meals,Laptop;Phone,3–5,Under 1 minute,0,Never,I usually already know,Put on an old favourite,5,"Never, I always decide well before the meal time what I'm going to watch today. Availability of material i check beforehand because I don't want hassle at mealtime. Available Material is just as important as available food.",True,Yes,About the same,NOT_ASKED,Started easily,"Yes, clearly",Maybe,NOT_ASKED,That it used shows I already watch;The mood filters;The single best-episode pick per show,5,"Can't say, different method of preparation for me. I can watch anything on any platform. I decide it well beforehand",,0,2,2,1
490d61d1-7511-45e4-9b3d-85221d0514f6,False,27–30,A few times a week,Most meals,Phone;Laptop,3–5,1–3 minutes,1,Once or twice,I usually already know,Switched to YouTube,0,I opened YouTube and watched a video from one the channels I've subscribed.,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Yes,NOT_ASKED,The mood filters,2,Good recommendations based on my previous watching information.,,1,1,1,2
799ede66-a006-4526-91ca-895404bf29ae,False,23–26,Every day,Most meals,Laptop,3–5,Over 10 minutes,0,Once or twice,I usually already know,Switched to YouTube,4,,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,No,NOT_ASKED,The single best-episode pick per show,8,"it should adapt to my moods, and should finish with my meal",,1,1,1,0
b579bc7f-b01e-4739-98d9-408151b96d3f,False,23–26,Every day,Most meals,Phone,10+,Under 1 minute,1,Once or twice,I usually already know,Watched something on it anyway,1,The meal was already over. I'm usually in a hurry to finish due to the schedule so as soon as the food's gone I'm up.,True,No,About the same,NOT_ASKED,Probably given up,No,No,NOT_ASKED,The mood filters,1,My own personal to watch list is usually what I stick to. So if they're what's been listed that will make me pick.,,0,0,0,0
13f4e8d8-5015-497e-a72d-755dba563466,False,18–22,A few times a week,Sometimes,Laptop;Phone;TV,3–5,3–5 minutes,2,Never,I usually already know,Watched something on it anyway,4,,True,Yes,About the same,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,That it used shows I already watch,7,"Not something precise, to me I'd just continue watching what I had paused, and if I have nothing pending, I'll just go for top airing show/movie",Nothing,0,1,1,1
83f93cf8-dc40-4513-9095-dab4408c4235,False,23–26,Every day,Most meals,TV;Tablet,10+,1–3 minutes,5,Once or twice,Depends,Put on an old favourite,6,,True,Yes,Slower,NOT_ASKED,Started easily,Somewhat,Yes,NOT_ASKED,That it used shows I already watch,6,Randomly clicking on the recommended shows and start binging helps me,,-1,2,1,2
ce845b4d-c685-48c1-a977-6e54d2360603,False,23–26,A few times a week,Most meals,Laptop;TV,6–10,3–5 minutes,4,Once or twice,Depends,Switched to YouTube,2,it wasntt even on streaming so i switched to youtube,True,Not sure,About the same,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,The single best-episode pick per show,3,"not really sure, but if the algorithm recommends shows/movies that actually belong to that particular genre. i see a lot of trashy movies getting clubbed with cult classics. popularity isnt a good metric for a good film, craftsmanship is. there needs to be a filter where you can get a ranked list of films based on imdb or letterboxd ratings, maybe even a ""sort by decade"" filter would work. netflix usually pushes their own movies/shows more",,0,1,1,1
4d1bf8f2-9e8f-4f91-b893-3745050c5f5c,False,23–26,A few times a week,Sometimes,Phone,3–5,3–5 minutes,4,Often,I usually already know,Scrolled social media instead,4,"Today only while deciding, the food got cold and started something randomly, got to know as soon as we started, it's in Marathi, continued watching it because had to watch something.",True,Not sure,About the same,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,The mood filters,3,"Mostly of the company cover of shows are not known to me. So it was a hastle to click on each frame and see the name. So if the name is mentioned with cover frame, that will be more user friendly to decide",,0,1,1,1
28dfc538-c153-4690-9c80-dd8484fa8e3e,False,27–30,A few times a week,Sometimes,Tablet,3–5,1–3 minutes,4,Once or twice,I usually already know,Switched to YouTube,8,,True,Yes,About the same,NOT_ASKED,Started easily,"Yes, clearly",I'd still switch,NOT_ASKED,The single best-episode pick per show,7,To organise my content more smoothly,,0,2,2,0
b5fc511d-51cd-4a69-9bbc-6cef7bd37aab,False,23–26,A few times a week,Most meals,Phone;Laptop,6–10,3–5 minutes,2,A few times,I usually already know,Scrolled social media instead,5,,True,Yes,About the same,NOT_ASKED,Probably given up,No,Maybe,NOT_ASKED,The mood filters,3,"Idk, show new shows for someone who doesn't rewatch",,0,0,0,1
ba04bb3f-8c84-4c00-98dc-56efbc2c6f75,False,18–22,A few times a week,Most meals,Laptop;Phone,1–2,Under 1 minute,0,Never,I usually already know,Switched to YouTube,1,,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Yes,NOT_ASKED,The single best-episode pick per show,7,"I don't always want things I've already watched, so if one in every few recommendations were from adjacent shows it might have a higher chance to keep me reeled into that feature.",No UI to go back to the prototype when I went to the second half of the survey. No visual cues to tell me what I'm supposed to be testing at the prototype. A little popup telling me what I'm about to experience would've been nice,1,1,1,2
cc759fe7-6a91-433b-9889-dd2159e6cb39,False,23–26,Every day,Most meals,Tablet,6–10,1–3 minutes,0,Once or twice,I usually already know,Switched to YouTube,10,,True,Yes,Much faster,NOT_ASKED,Started easily,"Yes, clearly",Maybe,NOT_ASKED,The mood filters,8,the mood picker part,,2,2,2,1
058cf5ed-017e-4f03-bf5a-6d9fe72d8ce2,False,23–26,About once a week,Most meals,Phone;Laptop,6–10,3–5 minutes,7,Often,I usually have to figure it out,Switched to YouTube,7,It’s really frustrating enough but sometimes the food is too good to let go cold!,True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Yes,NOT_ASKED,The single best-episode pick per show,8,It picked the best episodes already and the fact that I don’t need to change the streaming platforms,It felt very similar to Netflix so a bit confusing,1,1,1,2
66eab574-9791-4e14-8038-17a388222b7c,False,23–26,A few times a week,Most meals,Phone,6–10,1–3 minutes,7,Once or twice,I usually have to figure it out,Switched to YouTube,8,"I came across a few random food blogs and ended up spending some time exploring them, but couldn’t find exactly what I was looking for.",True,Yes,Faster,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,That it used shows I already watch,6,Something that’s more closely aligned with the kind of content I usually watch and enjoy.,Having a dedicated ‘Watch While You Eat’ section might help me feel less anxious and make the meal more comfortable.,1,1,1,1
67b5e5ea-5d5a-4d73-81a5-a0052ec94296,False,23–26,About once a week,Most meals,Phone;Laptop,6–10,5–10 minutes,3,A few times,I usually have to figure it out,Scrolled social media instead,7,,True,Yes,About the same,NOT_ASKED,Started eventually,Somewhat,Yes,NOT_ASKED,The single best-episode pick per show;That it used shows I already watch,6,the mood filters parts,,0,1,1,2
7ad514d3-d1ca-4ca0-b836-8c6237ea4126,False,23–26,Every day,Most meals,TV;Tablet,10+,1–3 minutes,0,Never,Depends,Put on an old favourite,5,,True,Yes,Faster,NOT_ASKED,Started easily,Somewhat,Maybe,NOT_ASKED,The single best-episode pick per show;The mood filters;That it used shows I already watch,10,The ease of just starting an episode Ik I’d like,,1,2,1,1
33ce6c6a-5eef-4a8b-87ce-79c021398eba,False,23–26,Every day,Most meals,TV,6–10,Over 10 minutes,0,A few times,Depends,Watched something on it anyway,6,When having a meal with parents. Hard to find a show that us genz can watch with parents.,True,Not sure,Faster,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,That it used shows I already watch,4,"Idk, is it free?",,1,1,1,1
c213741d-f236-4281-9a59-4776fa7eac60,False,23–26,Every day,Most meals,TV,10+,Over 10 minutes,10,A few times,Depends,Put on an old favourite,10,Made cup of noodles wanted to watch anime. The food got cold and I ended up rewatching same anime,True,Yes,Much faster,NOT_ASKED,Started easily,Somewhat,Maybe,NOT_ASKED,The mood filters,6,Change with meal type depending on time of the day,,2,2,1,1
f7b3c4c2-21cc-481f-a40e-59f1840e2893,False,18–22,Every day,Most meals,Tablet,6–10,3–5 minutes,1,Once or twice,I usually already know,Put on an old favourite,1,,True,Yes,Faster,NOT_ASKED,Started easily,Somewhat,Yes,NOT_ASKED,The mood filters,8,Recommendations,,1,2,1,2
9eb2e3bf-3611-45eb-b980-f38d028e665f,False,23–26,A few times a week,Most meals,Phone;Tablet,10+,3–5 minutes,5,A few times,Depends,Switched to YouTube,7,,True,Yes,About the same,NOT_ASKED,Started eventually,"Yes, clearly",Maybe,NOT_ASKED,The single best-episode pick per show;The mood filters,4,Easy and relatable recommendations,,0,1,2,1
3623559b-a0df-4d93-94a1-f83d06d77879,False,23–26,Every day,Most meals,Phone;Tablet,6–10,1–3 minutes,2,Never,I usually have to figure it out,Switched to YouTube,7,I opened my you tube and started watvhing TMKOC,True,Yes,About the same,NOT_ASKED,Started eventually,Somewhat,Maybe,NOT_ASKED,The mood filters,7,Because i dont have to think much.,,0,1,1,1
9852fc2c-ada4-4e32-9c87-d16b09a3e760,False,27–30,Every day,Most meals,Laptop,6–10,Over 10 minutes,6,Never,I usually already know,Switched to YouTube,5,I switched to youtube and watched a video. Mostly I take 10-15 mins to complete my meal,True,Yes,Faster,NOT_ASKED,Started easily,Somewhat,Maybe,NOT_ASKED,The mood filters,5,Mood picker,,1,2,1,1
9c6f44e1-980b-45c4-9614-f390f802de12,False,23–26,A few times a week,Sometimes,Laptop,6–10,Under 1 minute,2,Once or twice,I usually already know,Put on an old favourite,5,Nothing…then next time I have started deciding earlier.,True,Yes,Much faster,NOT_ASKED,Started easily,"Yes, clearly",Yes,NOT_ASKED,The mood filters;The single best-episode pick per show,9,Filter thing,No,2,2,2,2
1c9cffec-6ca5-478f-9979-0d7d4b422add,False,27–30,Every day,Most meals,Laptop,10+,3–5 minutes,0,Never,I usually already know,Scrolled social media instead,3,,True,Yes,Much faster,5,Started easily,"Yes, clearly",Yes,Mostly things I'd want,The single best-episode pick per show,10,Instagram,,2,2,2,2
